City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,hillsborough,37.5741,-122.3794,13.49,80,40,6.69,US,1714871215
180,tosontsengel,48.7567,98.2839,8.03,41,17,1.29,MN,1714871372
181,alice springs,-23.7,133.8833,16.75,39,0,5.66,AU,1714871372
182,yeed,4.55,43.0333,24.35,76,100,3.21,SO,1714871372
183,lakhnadon,22.6,79.6,29.24,13,85,2.35,IN,1714871177
184,enewetak,11.3474,162.3373,27.71,76,13,7.53,MH,1714871372
185,albina,5.5,-54.05,24.7,97,93,1.59,SR,1714871372
186,khanty-mansiysk,61.0042,69.0019,1.06,93,75,4.0,RU,1714871373
187,conduaga,8.862,117.4893,31.66,55,69,1.41,PH,1714871373
188,uturoa,-16.7333,-151.4333,27.93,72,6,7.26,PF,1714871373
189,llucmajor,39.4909,2.8911,14.87,98,0,0.0,ES,1714871373
190,katsuren-haebaru,26.3369,127.8719,27.43,71,20,6.17,JP,1714871373
191,callao,-12.0667,-77.15,22.62,83,20,4.12,PE,1714871373
192,mao,39.8885,4.2658,15.31,100,0,3.09,ES,1714871374
193,sibiti,-3.6819,13.3499,21.99,95,95,0.85,CG,1714871374
194,karymskoye,51.6167,114.35,11.57,38,88,3.08,RU,1714871374
195,sitka,57.0531,-135.33,12.94,50,0,2.06,US,1714871201
196,bafra,41.5678,35.9069,11.87,92,100,3.0,TR,1714871374
197,cockburn town,21.4612,-71.1419,26.08,78,0,8.11,TC,1714871374
198,majene,-3.5403,118.9707,26.41,85,94,2.92,ID,1714871375
199,cova figueira,14.8905,-24.2934,19.12,67,0,4.81,CV,1714871375
200,yelizovo,53.1873,158.3805,4.08,87,100,3.0,RU,1714871375
201,brookings,44.3114,-96.7984,13.95,56,20,1.54,US,1714871375
202,kill devil hills,36.0307,-75.676,20.01,87,100,5.14,US,1714871375
203,san patricio,28.017,-97.5169,27.05,80,29,7.11,US,1714871375
204,yakeshi,49.2833,120.7333,10.03,46,0,3.81,CN,1714871375
205,papao,-17.75,-149.55,30.37,80,10,7.61,PF,1714871375
206,aswan,24.0934,32.907,26.61,13,0,2.57,EG,1714871035
207,greymouth,-42.4667,171.2,12.72,75,100,0.19,NZ,1714871376
208,luderitz,-26.6481,15.1594,15.78,87,0,4.29,NA,1714871376
209,atar,20.5169,-13.0499,29.59,6,0,2.62,MR,1714871376
210,vangviang,18.9333,102.45,29.16,43,89,0.44,LA,1714871376
211,mitu,1.1983,-70.1733,23.99,98,100,1.07,CO,1714871376
212,wynyard,-41.0,145.7167,15.92,50,0,0.6,AU,1714871376
213,siwa oasis,29.2041,25.5195,19.46,50,0,4.67,EG,1714871377
214,island harbour,50.724,-1.2758,8.34,71,80,1.34,GB,1714871377
215,fale old settlement,-9.3852,-171.2468,28.95,73,100,1.95,TK,1714871377
216,ancud,-41.8697,-73.8203,5.65,92,85,6.23,CL,1714871377
217,cill airne,52.05,-9.5167,7.4,95,91,1.29,IE,1714871377
218,severo-yeniseyskiy,60.3725,93.0408,-1.9,83,17,2.24,RU,1714871377
219,sur,22.5667,59.5289,30.44,61,0,4.47,OM,1714871193
220,tucurui,-3.7661,-49.6725,24.89,94,99,1.23,BR,1714871377
221,pirallahi,40.4723,50.333,16.08,83,86,4.67,AZ,1714871378
222,bulayevo,54.9056,70.4439,0.66,76,7,7.13,KZ,1714871378
223,tommot,58.9564,126.2925,2.94,92,86,0.59,RU,1714871378
224,villa vicente guerrero,19.1194,-98.1708,22.66,44,98,7.06,MX,1714871378
225,mejit,10.2753,170.8646,27.6,78,93,7.53,MH,1714871378
226,pemangkat,1.1667,108.9667,26.54,88,100,2.31,ID,1714871378
227,lambarene,-0.7001,10.2406,24.62,97,54,0.44,GA,1714871378
228,kununurra,-15.7667,128.7333,28.99,37,40,8.23,AU,1714871379
229,kingston,17.997,-76.7936,29.53,70,20,6.17,JM,1714871155
230,rundu,-17.9333,19.7667,13.72,33,0,2.29,NA,1714871379
231,rumonge,-3.9736,29.4386,21.67,79,100,2.33,BI,1714871379
232,san felipe,10.3399,-68.7425,23.78,92,31,0.22,VE,1714871379
233,ambon,-3.6954,128.1814,29.08,84,40,1.03,ID,1714871068
234,salalah,17.0151,54.0924,28.05,89,40,0.51,OM,1714871379
235,bejaia,36.7559,5.0843,17.5,54,7,1.69,DZ,1714871380
236,puerto baquerizo moreno,-0.9,-89.6,23.77,89,79,4.05,EC,1714871380
237,bubaque,11.2833,-15.8333,26.28,73,3,6.73,GW,1714871380
238,newnham,-41.3833,147.1333,13.25,87,40,3.6,AU,1714871380
239,klaksvik,62.2266,-6.589,8.51,97,99,5.62,FO,1714871380
240,port hueneme,34.1478,-119.1951,18.43,78,75,6.17,US,1714871380
241,port elizabeth,-33.918,25.5701,16.72,82,0,1.34,ZA,1714871381
242,agdas,40.65,47.4761,15.16,86,100,1.27,AZ,1714871381
243,ishigaki,24.3448,124.1572,26.61,85,79,7.71,JP,1714871381
